vendor_id,shipto_id,charge_account_id
11267,514,10001.8240.99999.432400.99999.999999
474590,508,30440.9999.99999.210006.99999.999999
4297,526,10231.9999.99999.141000.99999.999999
9464,515,10011.9999.99999.143008.99999.999999
33656,508,10139.9999.99999.141000.99999.999999
1351,526,10255.9999.99999.331261.99999.999999
49415,526,10001.6540.99999.435100.99999.999999
391,506,10142.6110.99999.430500.99999.999999
29771,517,30452.9999.99999.210006.99999.999999
3440,514,30492.4570.99999.451200.99999.999999
5562,514,10011.4570.99999.451200.99999.999999
3357,515,10001.6230.P9000.435800.99999.999999
29771,514,30433.9999.99999.210006.99999.999999
30316,514,30490.4520.99999.451200.99999.999999
691582,514,30491.9999.99999.143003.99999.999999
691582,514,30491.9999.99999.331250.99999.999999
30342,526,20495.4760.99999.432120.99999.999999
3139,526,10161.9999.99999.141000.99999.999999
3139,526,10131.9999.99999.331261.99999.999999
33350,526,10176.6110.99999.451211.99999.999999
11717,511,10404.9999.99999.141000.99999.999999
5244,509,10406.9999.99999.141000.99999.999999
40200,508,10261.9999.99999.141000.99999.999999
1826,507,10130.9999.99999.141000.99999.999999
27922,517,30452.9999.99999.210006.99999.999999
28153,514,30490.4570.99999.451100.99999.999999
4336,509,10184.9999.99999.331261.99999.999999
10139,516,10157.9999.99999.141000.99999.999999
476590,514,10012.9999.99999.143013.99999.999999
27922,506,30445.9999.99999.210006.99999.999999
26821,526,10234.9999.99999.141000.99999.999999
6940,516,10224.9999.99999.141000.99999.999999
3312,508,10227.9999.99999.331261.99999.999999
32715,517,30446.6110.99999.432700.99999.999999
5470,508,10128.9999.99999.141000.99999.999999
5764,514,10177.9999.99999.331261.99999.999999
9950,516,10404.9999.99999.141000.99999.999999
41666,511,10123.9999.99999.331261.99999.999999
29998,516,30492.5030.99999.491620.99999.999999
5143,526,10406.9999.99999.331261.99999.999999
27353,509,10188.9999.99999.141000.99999.999999
359587,507,30434.9999.99999.210006.99999.999999
474590,514,30435.9999.99999.210006.99999.999999
23629,526,10005.9999.99999.331250.99999.999999
506,517,10161.6110.99999.440400.99999.999999
38800,514,10152.9999.99999.141000.99999.999999
28195,516,30431.9999.99999.210006.99999.999999
10139,516,10198.9999.99999.141000.99999.999999
14710,514,10130.9999.99999.141000.99999.999999
147,515,10265.9999.99999.331261.99999.999999
771,517,10172.9999.99999.141000.99999.999999
39998,526,10154.9999.99999.141000.99999.999999
771,508,10143.9999.99999.141000.99999.999999
3008,526,10137.9999.99999.214300.99999.999999
19657,526,10014.9999.99999.143008.99999.999999
425599,516,30492.4570.99999.432400.99999.999999
4262,514,10170.9999.99999.141000.99999.999999
3357,515,10153.6120.13800.483900.99999.999999
28071,506,30432.9999.99999.210006.99999.999999
3543,526,10139.6120.50000.483900.99999.999999
30939,507,30436.9999.99999.210006.99999.999999
3533,514,30437.9999.99999.210006.99999.999999
3533,526,10162.9999.99999.141000.99999.999999
55421,514,30490.4520.99999.451200.99999.999999
19657,515,10012.9999.99999.331250.99999.999999
5722,526,10181.6110.99999.431800.99999.999999
1685,506,10176.6110.99999.440200.99999.999999
30537,506,10129.6110.99999.440200.99999.999999
29160,517,30452.9999.99999.210006.99999.999999
4145,514,10147.6110.99999.440200.99999.999999
9083,507,10130.6110.99999.440100.99999.999999
3774,514,10159.9999.99999.141000.99999.999999
106578,516,30492.4450.99999.432100.99999.999999
4262,514,10172.9999.99999.141000.99999.999999
664581,514,10194.9999.99999.147300.99999.999999
19657,526,10015.9999.99999.143008.99999.999999
3533,517,30452.9999.99999.210006.99999.999999
22336,509,10407.9999.99999.141000.99999.999999
3306,514,10163.9999.99999.141000.99999.999999
2308,526,10005.4570.99999.432100.99999.999999
11267,514,10101.6150.40300.432400.99999.999999
5893,508,10157.6110.99999.440100.99999.999999
3533,526,10254.9999.99999.331261.99999.999999
5143,526,10235.9999.99999.141000.99999.999999
28693,508,30490.9999.99999.159500.99999.999999
506,514,10404.6110.99999.440400.99999.999999
30759,508,30450.6110.99999.431800.99999.999999
3533,526,10259.9999.99999.141000.99999.999999
1190,516,10188.9999.99999.141000.99999.999999
5143,515,10142.9999.99999.141000.99999.999999
5143,526,10235.9999.99999.331261.99999.999999
29784,508,30450.6110.99999.432400.99999.999999
28010,526,30436.9999.99999.331001.99999.999999
18979,508,10225.9999.99999.141000.99999.999999
30060,514,30490.4600.99999.451200.99999.999999
38800,514,10242.9999.99999.141000.99999.999999
22593,508,10015.4600.99999.432200.99999.999999
3774,514,10186.9999.99999.141000.99999.999999
6131,515,10224.9999.99999.141000.99999.999999
6131,515,10224.9999.99999.331261.99999.999999
6160,526,10005.5030.99999.491600.99999.999999
62513,515,30452.9999.99999.210006.99999.999999
9079,514,10260.6110.99999.451210.99999.999999
705581,516,30492.4570.99999.451200.99999.999999
72,514,10139.9999.99999.141000.99999.999999
11252,526,30446.9999.99999.210006.99999.999999
33350,526,10194.6110.99999.451211.99999.999999
5723,526,10146.6110.99999.431800.99999.999999
88579,526,10003.4620.99999.491200.99999.999999
50138,516,30492.5030.99999.491800.99999.999999
63528,509,30440.9999.99999.210006.99999.999999
29454,506,30445.6110.99999.484200.99999.999999
29771,508,30450.9999.99999.210006.99999.999999
18254,514,30448.9999.99999.331001.99999.999999
15125,507,30434.9999.99999.210006.99999.999999
31212,516,30441.9999.99999.210006.99999.999999
20688,517,10198.9999.99999.141000.99999.999999
11267,514,10101.6150.11200.432400.99999.999999
26932,516,10251.9999.99999.331261.99999.999999
17973,509,10001.6210.P1000.436500.99999.999999
28353,514,30490.4520.99999.451100.99999.999999
27353,509,10166.9999.99999.141000.99999.999999
1904,514,10139.6110.99999.451200.99999.999999
27353,509,10139.9999.99999.141000.99999.999999
29771,516,30440.9999.99999.210006.99999.999999
3139,526,10169.9999.99999.141000.99999.999999
67902,514,30443.9999.99999.210006.99999.999999
823584,515,10170.6110.99999.451210.99999.999999
202,526,10005.4570.99999.451200.99999.999999
27353,526,10147.9999.99999.141000.99999.999999
27353,509,10410.9999.99999.141000.99999.999999
10139,506,10157.9999.99999.141000.99999.999999
28840,514,30452.9999.99999.210006.99999.999999
29454,506,30434.6110.99999.484200.99999.999999
13,506,10182.6110.99999.432000.99999.999999
28022,516,30492.4450.99999.451200.99999.999999
4297,517,10236.9999.99999.141000.99999.999999
3533,526,10137.9999.99999.331261.99999.999999
37548,514,30031.6210.99999.435600.99999.999999
4262,514,10254.9999.99999.141000.99999.999999
4223,514,10150.9999.99999.141000.99999.999999
3357,526,10001.6230.P9000.435900.99999.999999
33350,515,10154.6110.99999.451303.99999.999999
28840,514,30437.9999.99999.331261.99999.999999
63528,506,30432.9999.99999.210006.99999.999999
32553,507,30434.6110.99999.451100.99999.999999
9486,526,10143.9999.99999.141000.99999.999999
3810,514,10143.6110.99999.440100.99999.999999
3357,508,10011.9999.99999.214120.99999.999999
4032,526,10143.9999.99999.141000.99999.999999
42423,526,10011.4760.99999.440400.99999.999999
5626,515,10162.6110.99999.440100.99999.999999
30241,514,30441.6110.99999.484200.99999.999999
3533,526,10190.9999.99999.331261.99999.999999
623,514,10172.9999.99999.141000.99999.999999
6371,526,10184.6110.99999.432000.99999.999999
971,508,10101.9999.99999.210303.99999.999999
22329,506,30455.9999.99999.210006.99999.999999
33350,526,10177.6110.99999.451211.99999.999999
27353,509,10154.9999.99999.141000.99999.999999
5891,514,20495.4570.99999.432120.99999.999999
33350,526,10152.6110.99999.451211.99999.999999
385580,514,30443.6110.99999.491200.99999.999999
3533,526,10171.9999.99999.331261.99999.999999
7673,509,20495.4760.99999.414900.99999.999999
6131,515,10138.9999.99999.141000.99999.999999
2082,526,10161.9999.99999.331261.99999.999999
2082,526,10177.9999.99999.141000.99999.999999
29033,509,30492.5030.99999.491610.99999.999999
5512,526,10163.6110.99999.440200.99999.999999
2082,526,10251.9999.99999.331261.99999.999999
65888,514,30448.6110.99999.432700.99999.999999
3712,506,10174.6110.99999.440200.99999.999999
817588,506,30455.9999.99999.331001.99999.999999
8935,516,30492.4450.99999.451200.99999.999999
3306,511,10170.9999.99999.331261.99999.999999
4032,517,10134.9999.99999.141000.99999.999999
28010,506,30031.9999.99999.211113.99999.999999
3533,508,30450.9999.99999.210006.99999.999999
673,517,10252.9999.99999.141000.99999.999999
28888,514,30439.6110.99999.430500.99999.999999
53012,517,30446.9999.99999.210006.99999.999999
56532,514,30435.9999.99999.210006.99999.999999
5143,526,10186.9999.99999.331261.99999.999999
451590,506,30432.6110.99999.451700.99999.999999
3940,526,10001.6540.99999.435300.99999.999999
29454,514,30031.6050.99999.484500.99999.999999
2003,526,10184.6110.99999.432120.99999.999999
28752,517,30492.9999.99999.159500.99999.999999
11435,526,10006.5040.99999.451302.99999.999999
18759,526,10011.4570.99999.451700.99999.999999
3357,515,10001.6210.P1800.435900.99999.999999
1190,509,10150.9999.99999.141000.99999.999999
15807,514,10227.9999.99999.336100.99999.999999
33350,3,10154.6110.99999.451211.99999.999999
3616,508,10188.6110.99999.440200.99999.999999
4316,506,10194.6110.99999.440200.99999.999999
5891,514,10012.4570.99999.451100.99999.999999
47869,514,30433.9999.99999.210006.99999.999999
30437,526,10251.9999.99999.331261.99999.999999
25565,514,10254.6110.99999.432000.99999.999999
11267,514,10001.6620.B3100.483900.99999.999999
2003,516,30491.4570.99999.451200.99999.999999
1190,508,10188.9999.99999.331261.99999.999999
383587,509,10181.6110.99999.451000.99999.999999
43948,526,20030.6050.99999.482100.99999.999999
1190,526,10157.9999.99999.141000.99999.999999
30501,506,30434.9999.99999.210006.99999.999999
3251,511,10142.6110.99999.440100.99999.999999
3533,514,30452.9999.99999.331261.99999.999999
41593,526,10001.6620.B3400.483900.99999.999999
2453,526,10015.9999.99999.143007.99999.999999
574,517,10139.9999.99999.331001.99999.999999
82578,526,10101.6040.99999.432000.99999.999999
28586,516,30492.4570.99999.451200.99999.999999
33350,526,10167.6110.99999.451303.99999.999999
28340,514,30491.4760.99999.432400.99999.999999
60514,507,30434.6110.99999.431800.99999.999999
3357,526,20030.6210.R0200.435400.99999.999999
27900,515,30492.5030.99999.491800.99999.999999
3533,526,10135.9999.99999.331261.99999.999999
58914,509,10153.6110.99999.432110.99999.999999
3543,508,10235.6120.47000.483900.99999.999999
28752,516,30492.9999.99999.159500.99999.999999
3997,514,30490.9999.99999.143039.99999.999999
15410,507,30434.9999.99999.210006.99999.999999
40024,514,30491.5030.99999.491610.99999.999999
28654,514,30490.4490.99999.451200.99999.999999
4011,526,10139.9999.99999.331261.99999.999999
6940,517,10156.9999.99999.141000.99999.999999
33350,509,10265.6110.99999.451211.99999.999999
1832,516,10012.9999.99999.143015.99999.999999
5141,507,10011.4570.99999.451200.99999.999999
33350,509,10170.6110.99999.451303.99999.999999
23921,509,10177.9999.99999.141000.99999.999999
3139,526,10164.9999.99999.141000.99999.999999
41593,526,10001.6230.P9000.435400.99999.999999
